,x,y,U_scalar,U_scalar_error,H,H_err,VelX (m/s),VxErr (m/s),VelY (m/s),VyErr (m/s),VelZ (m/s),VzErr (m/s),u average (m/s),u std (m/s),u stderr (m/s),Total error ,Error (m/s),v average (m/s),v std (m/s),v stderr (m/s),Total error ,Error (m/s),w average (m/s),w std (m/s),w stderr (m/s),TKE 2d norm. (-),TKE 2d norm. Err (-),TKE norm. (-),TKE norm.Err (-)
PT1,363120.2,5350250.20468969,1.07163020593918,0.19893822,0.174,0.0174,-1.062,0.02,0.105,0.007,-0.465,0.031,1.0662875,0.019892423,0.179045797,0.19893822,0.186570901375098,0.106875,0.007479166,0.067317757,0.074796923,0.699854250292398,-0.4499875,0.033551344,0.301985686,0.018294539,0.0018294539,0.063892216,0.0063892216
PT2,363120.932448553,5350245.61272107,1.3005309117818,0.117153647,0.184,0.0184,-1.208,0.011,-0.47,0.005,1.728,0.019,1.21275,0.011714541,0.105439106,0.117153647,0.0966016466707895,-0.4697,0.004977054,0.044796982,0.049774036,-0.105969844581648,1.7305875,0.018984959,0.170877978,0.006562087,0.0006562087,0.021161729,0.0021161729
PT3,363123.593446038,5350245.91082399,1.15327058525417,0.224788535,0.227,0.0227,-1.049,0.023,-0.48,0.008,1.768,0.033,1.0486625,0.022477273,0.202311262,0.224788535,0.214357369506395,-0.4799375,0.007814717,0.070337944,0.078152661,-0.162839246776924,1.7677625,0.033269864,0.299452168,0.022938637,0.0022938637,0.067774437,0.0067774437
PT4,363115.189106312,5350263.3502325,0.610097159910821,0.072614452,0.084,0.0084,-0.569,0.007,-0.22,0.003,0.856,0.013,0.5691375,0.007260935,0.065353517,0.072614452,0.127586834464431,-0.219775,0.003449682,0.031049562,0.034499244,-0.156975288363099,0.8556375,0.012436039,0.1119331,0.002617579,0.0002617579,0.008882088,0.0008882088
PT5,363116.523611595,5350258.84478081,0.295170565362216,0.062343903,0.08,0.008,-0.21,0.006,-0.206,0.005,0.83,0.02,0.21255,0.006233952,0.056109951,0.062343903,0.293314057868737,-0.2048125,0.005214436,0.04693359,0.052148026,-0.254613492828807,0.826225,0.020457769,0.184134305,0.002675544,0.0002675544,0.019628265,0.0019628265
PT6,363118.93365155,5350259.35180154,0.513633713877166,0.120953143,0.194,0.0194,-0.486,0.012,-0.166,0.01,0.656,0.039,0.486125,0.012094464,0.108858679,0.120953143,0.248810785291849,-0.1658375,0.009687789,0.087196917,0.096884706,-0.584214704153162,0.65615,0.039046799,0.351448651,0.009726757,0.0009726757,0.071484834,0.0071484834
PT7,363121.473753692,5350259.85873667,1.11549633326661,0.174608309,0.31,0.031,-0.999,0.018,-0.499,0.01,1.918,0.049,1.002925,0.017459603,0.157148706,0.174608309,0.174099069222524,-0.4883375,0.011093677,0.099850894,0.110944571,-0.227188309314767,1.8771875,0.054485182,0.49040495,0.017332958,0.0017332958,0.137581466,0.0137581466
PT8,363117.892251091,5350254.82824097,0.324833271175383,0.198172232,0.196,0.0196,-0.308,0.019,0.074,0.01,-0.378,0.045,0.3158625,0.01981583,0.178356402,0.198172232,0.627400315010487,0.0758125,0.010330887,0.092985244,0.103316131,1.36278491014015,-0.3697375,0.044489415,0.40043602,0.020228631,0.0020228631,0.100403134,0.0100403134
PT9,363119.270446842,5350255.17352629,0.409119821423077,0.265361561,0.216,0.0216,-0.426,0.025,-0.047,0.01,0.288,0.035,0.406625,0.02653429,0.238827271,0.265361561,0.652595292960344,-0.0451125,0.009601042,0.086416125,0.096017167,-2.12839383762815,0.2771625,0.041683485,0.37518068,0.032253106,0.0032253106,0.102633377,0.0102633377
PT10,363121.888710629,5350255.40226505,1.29593760971786,0.237721349,0.426,0.0426,-1.108,0.021,-0.671,0.01,2.264,0.039,1.115925,0.023770463,0.213950886,0.237721349,0.213026277751641,-0.6589125,0.011120297,0.10009049,0.111210787,-0.168779294671144,2.20115,0.047823791,0.430447753,0.027896544,0.0027896544,0.120539178,0.0120539178
PT11,363121.920311249,5350255.13589516,1.17050154207502,0.195706889,0.427,0.0427,-1.032,0.02,-0.553,0.011,2.059,0.043,1.0319,0.019569313,0.176137576,0.195706889,0.189656835933715,-0.5525,0.010838142,0.097550896,0.108389038,-0.196179254298643,2.0594375,0.042951746,0.386595914,0.020270311,0.0020270311,0.094998512,0.0094998512
PT12,363122.410530157,5350255.56994594,1.08551924161032,0.153130879,0.416,0.0416,-0.968,0.015,-0.49,0.006,1.917,0.023,0.9684,0.015312011,0.137818868,0.153130879,0.158127714787278,-0.4904625,0.006302925,0.056730753,0.063033678,-0.128518853123327,1.91715,0.022733161,0.204614432,0.011106209,0.0011106209,0.032039742,0.0032039742
PT13,363122.835971634,5350255.6013266,0.733031669783953,0.167622267,0.382,0.0382,-0.717,0.015,-0.172,0.007,0.676,0.031,0.7117375,0.016761048,0.150861219,0.167622267,0.235511360578865,-0.1754,0.007682175,0.069144977,0.076827152,-0.438011128848347,0.6941375,0.032680435,0.2941469,0.013770068,0.0013770068,0.057031267,0.0057031267
PT14,363118.161228671,5350253.80120598,0.179629157050018,0.110807081,0.158,0.0158,-0.182,0.01,-0.038,0.007,0.209,0.03,0.1758375,0.011079929,0.099727152,0.110807081,0.630167518305253,-0.0367125,0.007410301,0.06669792,0.074108221,-2.01861003745318,0.213325,0.032223442,0.290033642,0.007197059,0.0007197059,0.049256815,0.0049256815
PT15,363121.920311249,5350255.13589516,1.18438624941887,0.131373651,0.406,0.0406,-1.037,0.013,-0.572,0.01,2.138,0.041,1.0373875,0.013136441,0.11823721,0.131373651,0.126638937716138,-0.5714875,0.010243077,0.092194895,0.102437972,-0.179247966053501,2.1384375,0.04039161,0.363552891,0.011239968,0.0011239968,0.077325321,0.0077325321
PT16,363117.895434099,5350263.80964404,0.886905761975307,0.086283848,0.169,0.0169,-0.828,0.009,-0.318,0.005,1.228,0.02,0.828625,0.008627778,0.07765607,0.086283848,0.104128946145723,-0.3162,0.005164222,0.046481628,0.05164585,-0.163332858950032,1.22065,0.020572722,0.185168968,0.004095503,0.0004095503,0.021239277,0.0021239277
